date,kit_id,flower type,photo,air_temp,google map photo,names,rank,user_information,lat,lon
26/11/2020 13:34,50,Moringa oleifera,https://drive.google.com/open?id=19FdFM2riU-CM_CnAZSRa1pBDSSik7hRd,23,https://drive.google.com/open?id=1HxYPS1L7PPouHKlc42Xi2-mhVp8620k6,empty,5,-,30.778952,35.241766
26/11/2020 13:36,51,Moringa oleifera,https://drive.google.com/open?id=1uigT2JV5BQL0WzzSW6t1AWmj_hDS85Ra,23,https://drive.google.com/open?id=11va01U0zXXHq3UGUrVbdHvHXoZw1vKRl,empty,5,-,30.779115,35.241758
26/11/2020 12:25,54, Fagonia mollis,https://drive.google.com/open?id=1AH3WTXPfZyvUKXqvOGNggxP0qHeVGp6X,19,https://drive.google.com/open?id=1BdMJ7GLS_9SudEYErI45_yzaYDJYN8xl,"Gili, Talia",5,No,30.7818408,35.2437889
26/11/2020 12:48,55,Fagonia mollis,https://drive.google.com/open?id=1DT8b2SH2ZgyjBlG21M-QqrUGGCh50Gb6,23,https://drive.google.com/open?id=11NIkZ5Vwm0f1B_GTWNpnJtgot6kDe4nc,"Gili, Talia",5,-,30.7818408,35.2437889
26/11/2020 12:24,56,Zilla spinosa,https://drive.google.com/open?id=1Kx8SvDiC5QZ6sHcytw_vVJgRlHrXAlhi,23,https://drive.google.com/open?id=11Th9Y3R2FpQ09_iRzf9YYqSnaXWYdgQc,"Eran, Shaked",5,-,30.7817282,35.2412475
12/02/2020 12:21,57,Ochradenus baccatus,https://drive.google.com/open?id=1m0uHSjUfcJwCj4uoc1zQoymnBAVdYMrY,22,https://drive.google.com/open?id=12u6vJ7X0vcHOdwBfn5qjJ7bBA57fOFYw,Elad,5,-,30.782487,35.2412475
12/02/2020 11:59,61,Loranthus acaciae,https://drive.google.com/open?id=1FarqVvlszGRF8_Hn-6WnDTj3HqMxtUlY,21,https://drive.google.com/open?id=1arw_LES6h4bukpspAoC_TD_tCMeMmeuC,"Lior, Roni",5,-,30.781934,35.244401
12/02/2020 11:49,67,Anabasis articulata,https://drive.google.com/open?id=1Ny7mLwIWUs4e1gbYMjuKatxdhEDGjv3_,21,https://drive.google.com/open?id=1qJ_eVqz4cjN1fR57lfRu6eE8eNXA5MIk,"Mayan, Omer",5,-,30.781633,35.244151
12/02/2020 13:16,70,Commiphora gileadensis,https://drive.google.com/open?id=1nufptfZM20VCoepsatSKSksV86A_Oq6k,22,https://drive.google.com/open?id=1Ct48owjdCAb7wU9de0Q4JUREre4TyCut,Elad,5,-,30.777049,35.240437
12/02/2020 13:19,71,Commiphora gileadensis,https://drive.google.com/open?id=1PFNy9BdBRMjUbLCg2856n4_ttnupa1oS,22,https://drive.google.com/open?id=15WIYDk5AyolfMhhtVLuUsGlAiYJG9xII,Dagan,-1,-,30.7766801,35.2405491
12/02/2020 12:50,73,Moringa oleifera,https://drive.google.com/open?id=1ROWtSEwAM2UXsYUwx09zAmpXUv5qh8PW,22,https://drive.google.com/open?id=1NoPTtDPm-4ZgN68XKVT182-hyJkcHJcR,Elad,5,-,30.778875,35.241804
12/02/2020 12:51,74,Moringa oleifera,https://drive.google.com/open?id=1OLtT7xiv06udxsULXrn6kl0dWJ402q_V,22,https://drive.google.com/open?id=1_FN6com6wPvwTd6sGOKGh0rdoQzam3eS,Empty,-1,-,30.7788751,35.2418728
26/11/2020 12:51,76,Salsola damascena,https://drive.google.com/open?id=1PBdGxE-ea-_so9upWoX2ZL97K7XeBr1h,24,https://drive.google.com/open?id=1bCDUbNhhUk4OD0lfZ3SFEY_bRzRU6Pc6,Regev,5,-,30.7815548,35.2428126
12/02/2020 11:36,78,Salsola damascena,https://drive.google.com/open?id=1vRBxw-UzpxkY4Ev2F9u5te8MspzHW1H1,19,https://drive.google.com/open?id=11H6bOlTEDC5ccPajL5pNxfUbWcGPFfzD,Empty,5,-,30.781915,35.243976
26/11/2020 12:39,79,Ochradenus baccatus,https://drive.google.com/open?id=1jQEuowt2xWdRBHprL0EFRcNZy7gRRdGs,22,https://drive.google.com/open?id=11mawY8o96XMDN4EUeTTPmQu-o2JqNg_V,"Regev, Ofir",5,-,30.7813399,35.2423013
12/02/2020 11:35,86,Lavandula coronopifolia,https://drive.google.com/open?id=1hSTHnnTWt26IRudq01qWaGmKQ7RSSWIU,21,https://drive.google.com/open?id=1jV52IttSZnLqFrmTIZCBM45NT1E57-ia,Elad,5,-,30.781684,35.244013
12/02/2020 11:36,87,Asteriscus graveolens,https://drive.google.com/open?id=1QLIP1HFrhxfaDMHXKxd1wYrV0K56n1AL,22,https://drive.google.com/open?id=1elnzIAmRPpbIGWClR7kdGddtluhjCC-s,"Ori, Tomer",5,-,30.782262,35.2440746
12/02/2020 11:40,88,Fagonia mollis,https://drive.google.com/open?id=1Ws4jpujT9GgWHs54guPlT1yePr9kll36,21,https://drive.google.com/open?id=1XWZL9xGiFTXDZEscXy2UlcahlKzq8bGN,"Roni, Lior",5,-,30.7818408,35.2437889
12/02/2020 12:02,89,Pulicaria incisa,https://drive.google.com/open?id=1vMPFCAcFIn1lcrqC0pns-L4Csa4kRJxD,22,https://drive.google.com/open?id=1t7wAazWXS7J08mzpNm11dZJS1IuWJUh3,"Alma, Gili",5,-,30.7818063,35.2444062
12/02/2020 12:12,80,Ochradenus baccatus,https://drive.google.com/open?id=1_Jl3p1Stvqo4jJRxQbYh1TJzFTFFU4Fk,19,https://drive.google.com/open?id=1Huq-zegLZLkIQRfiwc4Vg4szEFxGYrGV,Gili,5,-,30.782442,35.245017
12/02/2020 12:26,81,Ochradenus baccatus,https://drive.google.com/open?id=1ukHyBdIEWdeZQMUNatH2PGYKVF04P_vZ,22,https://drive.google.com/open?id=1k--OnvevwIvwAk4iBvJ5dPy3gUV8LAII,Elad,5,-,30.782684,35.245767
26/11/2020 12:47,84,Lavandula coronopifolia,https://drive.google.com/open?id=1xvpR_MzX9NL74Fi_dC5uvHHhZdDzTjX5,23,https://drive.google.com/open?id=1af09pJ2F2D1xhgl5IL2t9rBHBVMRI7o3,"Eran, Shaked",5,-,30.7817455,35.2420897
